"id","display_name","created","expiration_date","receiver_id"
63,CORONA,2017-10-20 17:27:19.024,"2023-02-28",76
492,CEVSA (Originalmente Santander),2022-10-03 15:05:57.053,"2023-02-28",257
431,ABCDIN,2022-04-18 14:57:20.617,"2023-02-28",18
183,LIDER,2020-08-07 20:18:49.589,"2023-02-28",171
149,Santander Externo - PUT,2019-10-24 12:27:12.906,"0000-00-00",163
176,ÉSIKA (BELCORP),2020-07-09 19:40:41.154,"2023-02-28",199
233,ABCDIN,2021-02-19 18:49:23.781,"2023-02-28",18
569,ARMONY (Cedida por CENCOSUD SCOTIABANK),2022-12-21 18:17:37.697,"2023-02-28",221
506,Gestora La Avanzada (Originalmente Presto),2022-10-03 18:10:35.712,"2023-02-28",253
358,HITES,2021-12-03 18:18:56.337,"2022-02-28",52
620,LIDER BCI,2023-01-20 10:47:25.160,"2023-02-28",171
217,ARMONY (Cedida por ABCDIN DIJON),2021-02-04 13:22:01.286,"2023-02-28",221
601,ARMONY (Cedida por PRESTO),2022-12-22 19:10:13.012,"2023-02-28",221
79,FASHIONSPARK,2018-05-25 20:41:38.161,"2022-02-28",99
573,ARMONY (Cedida por SANTANDER),2022-12-21 18:33:44.939,"2023-02-28",221
619,LIDER,2023-01-20 10:42:50.775,"2023-02-28",171
232,ABCDIN,2021-02-19 17:29:31.219,"2023-02-28",18
544,ARMONY (Cedida por ABCDIN),2022-12-20 14:57:02.750,"2023-02-28",221
301,CEVSA (Originalmente Presto),2021-10-12 18:42:22.704,"2023-02-28",257
514,Gestora La Avanzada (Originalmente Paris),2022-10-03 18:14:45.202,"2023-02-28",253
427,ABCDIN,2022-04-04 20:52:25.911,"2023-02-28",18
56,TRICOT,2017-10-11 21:08:00.778,"2023-02-28",72
568,ARMONY (Cedida por CENCOSUD SCOTIABANK),2022-12-21 16:38:41.538,"2023-02-28",221
566,ARMONY (Cedida por CENCOSUD SCOTIABANK),2022-12-21 16:30:41.096,"2023-02-28",221
487,CEVSA (Originalmente Santander Banefe),2022-10-03 15:03:46.275,"2023-02-28",257
454,BANCO ITAU,2022-09-12 19:46:11.322,"2023-02-28",314
486,CEVSA (Originalmente Santander),2022-10-03 15:02:16.277,"2023-02-28",257
482,CEVSA (Originalmente Presto),2022-10-03 14:58:03.480,"2023-02-28",257
144,TRICOT,2019-06-04 15:14:58.172,"2023-02-28",72
160,Santander Externo - Ciclos,2020-04-07 19:54:59.179,"0000-00-00",163
